Population,Plant_id,Mean_nectar
It5,221,0.041375
It6,73,0.054614583333333334
It6,78,0.06172916666666667
It6,80,0.04560416666666667
It6,82,0.010677083333333332
It6,88,0.07351041666666666
It6,198,0.0309375
It6,208,0.010447916666666668
It6,209,0.030083333333333333
It6,213,0.0484375
It6,225,0.0557421875
It6,273,0.0043125
It8,24,0.13898958333333333
It8,76,0.10721875
It8,89,0.23522916666666666
It8,100,0.055625
It8,117,0.13591666666666666
It8,134,0.03153125
It8,172,0.014020833333333335
It8,174,0.04392708333333333
It8,179,0.06509375
It8,246,0.10730208333333333
It9,67,0.0965625
It9,94,0.17122916666666665
It9,116,0.13107291666666668
It9,215,0.0415625
It9,216,0.057046875
It9,217,0.0753125
It9,219,0.04196875
It9,222,0.08101041666666667
It9,223,0.066875
It9,224,0.04921875
S1,95,0.04915625
S1,103,0.024437499999999997
S1,120,0.022854166666666665
S1,155,0.012552083333333333
S1,169,0.055578125000000006
S1,170,0.02525
S1,171,0.0593125
S1,175,0
S1,180,0.02715625
S1,181,0.06295833333333332
S1,193,0.05771875
S1,236,0.129125
S1,247,0.02209375
S1,276,0
S1,306,0.03246875
