Population,Plant_id,Mean_nectar
Aal04,2,0.022171875
Aal04,27,0.0385625
Aal04,31,0.14483333333333334
Aal04,46,0.09271875
Aal04,47,0.021875
Aal04,52,0.0245625
Aal04,54,0.0711875
Aal04,115,0.11798958333333334
Aal12,8,0.07825
Aal12,18,0.06345833333333332
Aal12,34,0.08328125
Aal12,35,0.09341666666666666
Aal12,40,0.05946875
Aal12,61,0.045
Aal12,62,0.077921875
Aal12,87,0.022765624999999998
Aal12,106,0.04167708333333334
Aal12,114,0.023322916666666665
Aal12,166,0
Aal29,56,0.05178125
Aal29,57,0.01953125
Aal29,79,0.04485416666666667
Aal29,90,0.07447916666666667
Aal29,109,0.058416666666666665
Aal29,113,0.01375
Aal29,126,0.021354166666666664
Aal29,154,0.029302083333333333
Aal29,156,0.010802083333333334
Aal29,158,0.025062499999999998
Aal29,185,0.03605208333333333
Aal29,192,0.02420833333333333
Aal29,196,0.028604166666666667
Aal34c,3,0.015875
Aal34c,6,0.02325
Aal34c,11,0.01928125
Aal34c,13,0.03755208333333333
Aal34c,15,0.033625
Aal34c,16,0.061427083333333334
Aal34c,17,0.029114583333333333
Aal34c,25,0.047635416666666666
Aal34c,26,0.035375
Aal34c,33,0.029260416666666667
Aal34c,37,0.040666666666666663
Aal34c,39,0.016666666666666666
Aal34c,41,0.02546875
Aal34c,42,0.0251171875
Aal34c,97,0.004114583333333333
Aal36,71,0.014656250000000001
Aal36,189,0.018828125
Aal36,229,0.050708333333333334
Aal36,230,0.0029374999999999996
Aal36,231,0.032343750000000004
Aal36,232,0.036000000000000004
Aal36,233,0.0088125
Aal36,234,0.025552083333333333
AalDMB,188,0
AalDMB,191,0.016041666666666666
AalDMB,226,0.0466875
AalDMB,228,0.029114583333333333
AalDMB,235,0.022395833333333334
AalDMB,242,0.03480208333333333
AalDMB,249,0.008395833333333333
AalDMB,260,0.00975
AalFC,12,0.022775
AalFC,14,0.00684375
AalFC,36,0.046239583333333334
AalFC,124,0.07442708333333334
AalFC,139,0.020635416666666666
AalFC,142,0.0171875
AalFC,144,0.002375
AalFC,145,0.007927083333333333
AalFC,146,0.030760416666666665
AalFC,153,0.019010416666666665
AalFC,159,0.022135416666666668
AalSFH,9,0.021593750000000002
AalSFH,10,0
AalSFH,19,0.01565625
AalSFH,22,0.018052083333333333
AalSFH,43,0.04476041666666667
AalSFH,119,0.01945833333333333
AalSFH,122,0.0358125
AalSFH,195,0.004177083333333334
E3,111,0.018739583333333334
E3,123,0.01375
E3,127,0.03127083333333333
E3,129,0.04460416666666667
E3,160,0.010239583333333333
E3,161,0
E3,163,0.06152083333333334
E3,165,0
E3,168,0.034562499999999996
E3,177,0.001875
E3,178,0.00240625
Fr1,1,0.020291666666666666
Fr1,5,0.0060416666666666665
Fr1,21,0.0061875
