Plant_id,Full_ID,Scent_ID,Population,Mean_nectar,Notes,
156,Aal29:2016:14:b,8076,Aal29,0.010802083,,
242,AalDMB:2016:14:a,8081,AalDMB,0.034802083,,
176,It13:2018:4:b,8082,It13,0.156177083,,
127,E3:57:selF:a,8089,E3,0.031270833,,
129,E3:1:selF:b,8090,E3,0.044604167,,
130,F1:37:b:selF:b,8091,Fr1,0.020666667,,
146,AalFC:2016:17B:a,8092,AalFC,0.030760417,,
145,AalFC:2016:8:b,8093,AalFC,0.007927083,,
148,It12:4:a,8096,Fr4/IT12,0.025989583,,
160,E3:11:selF:a,8097,E3,0.010239583,,
163,E3:6:selF:a,8098,E3,0.061520833,,
139,AalFC:2016:10:a,8099,AalFC,0.020635417,,
166,Aal12:2016:9:a,8100,Aal12,0,,
151,It13:2018:6:a,8101,It13,0.0793125,,
132,F2:85:selF:b,8103,Fr2,0.027875,,
154,Aal29:2016:11:b,8104,Aal29,0.029302083,,
172,It8:7:b,8105,It8,0.014020833,,
134,It8:9:b,8106,It8,0.03153125,,
159,AalFC:2016:17B:b,8107,AalFC,0.022135417,,
149,It13:2018:8:a,8108,It13,0.02809375,,
143,It12:1:a,8111,Fr4/IT12,0.028020833,,
170,S1:2017:A56:1:a,8112,S1,0.02525,,
157,It12:12:b,8113,Fr4/IT12,0.01715625,,
183,It13:2018:5:b,8114,It13,0.050489583,,
111,E3:34:selF:a,8115,E3,0.018739583,,
169,S1:2017:A25:1:b,8116,S1,0.055578125,,
189,Aal36:2016:7a:a,8117,Aal36,0.018828125,,
191,AalDMA/B:2016:1:a,8118,AalDMB,0.016041667,,
192,Aal29:2016:13:b,8119,Aal29,0.024208333,,
273,It6:5:a,8121,It6,0.0043125,,
178,E3:54:selF:a,8122,E3,0.00240625,,
205,It2:7:b,8123,It2,0.0934375,,
200,It2:2:b,8125,It2,0.172645833,,
196,Aal29:2016:5:b,8126,Aal29,0.028604167,,
202,It2:21:a,8128,It2,0.15865625,,
198,It6:5:b,8129,It6,0.0309375,,
195,AalSFH:2016:18:b,8133,AalSFH,0.004177083,,
224,It9:3:a,8137,It9,0.04921875,,
223,It9:14:b,8138,It9,0.066875,,
225,It6:12:b,8141,It6,0.055742188,,
221,It5:M5b:16:a,8142,It5,0.041375,,
207,It2:5:a,8143,It2,0.030927083,,
215,It9:14:a,8145,It9,0.0415625,,
222,It9:7:a,8146,It9,0.081010417,,
216,It9:3:b,8147,It9,0.057046875,,
217,It9:10:a,8148,It9,0.0753125,,
187,It5:M5b:3:a,8149,It5,0.16940625,,
218,It2:6:a,8150,It2,0.045020833,,
174,It8:VL30:b,8151,It8,0.043927083,,
228,AalDMB:2016:16:a,8156,AalDMB,0.029114583,,
175,S1:2017:A42:2:b,8161,S1,0,,
213,It6:12:a,8162,It6,0.0484375,,
229,Aal36:2016:8:a,8163,Aal36,0.050708333,,
235,AalDMB:2016:19:a,8164,AalDMB,0.022395833,,
233,Aal36:2016:1:b,8167,Aal36,0.0088125,,
131,It18:45:a,8169,It18,0.109125,,
165,E3:54:selF:b,8170,E3,0,,
246,It8:14:b,8172,It8,0.107302083,,
219,It9:4:a,8173,It9,0.04196875,,
162,F2:1:selF:B:a,8174,Fr2,0.00890625,,
245,It18:45:b,8175,It18,0.04878125,,
194,It5:M5b:13:a,8176,It5,0.026625,,
241,It15:2018:7:a,8177,It15,0.016510417,,
232,Aal36:2016:9:a,8178,Aal36,0.036,,
234,Aal36:2016:4:a,8179,Aal36,0.025552083,,
230,Aal36:2016:9:b,8180,Aal36,0.0029375,,
240,It15:2018:5:b,8181,It15,0.022385417,,
239,It15:55,8182,It15,0.059197917,,
238,It15:2018:3:b,8183,It15,0.0436875,,
269,It16:86:a,8189,It16,0.089458333,,
289,It18:2:a,8204,It18,0.020604167,,
288,It11:21:a,8206,Fr3/IT11,0.0043125,,
307,It15:2018:9:a,8207,It15,0.03215625,,
286,It11:6:a,8217,Fr3/IT11,0.004864583,,
287,It16:64:b,8218,It16,0.132979167,,
283,It11:7:a,8223,Fr3/IT11,0.003052083,,
285,It11:9:b,8226,Fr3/IT11,0,,
284,It11:6:b,8229,Fr3/IT11,0,,
256,It15:2018:2:a,8231,It15,0.0259375,,
253,It16:90:a,8232,It16,0.031677083,,
265,It16:80:b,8233,It16,0.00625,,
251,It15:2018:8:b,8236,It15,0.041135417,,
257,It16:77:b,8237,It16,0.034802083,,
258,It16:72:a,8238,It16,0.0661875,,
250,It15:2018:11:a,8239,It15,0.023895833,,
254,It16:83:b,8242,It16,0,,
315,It18:8:a,8250,It18,0.045875,,
314,It17:93:a,8251,It17,0.075291667,,
313,It11:1:a,8257,Fr3/IT11,0.0143125,,
311,It17:104:a,8260,It17,0.2496875,,
309,It11:5:a,8262,Fr3/IT11,0.003765625,,
312,It2:15:a,8265,It2,0.08440625,,
308,It2:18:a,8266,It2,0.108302083,,
310,It15:2018:3:a,8278,It15,0.215291667,,
299,G4:2018:5:b(2),8328,G4,0.050947917,,
298,G4:2018:12:a(2),8329,G4,0.08896875,,
326,G4:2018:3:a(2),8389,G4,0.063875,,
322,G4:2018:9:a(2),8390,G4,0.0699375,,
319,G4:2018:6:a,8430,G4,0.034322917,,
325,G4:2018:1:b(2),8433,G4,0.0819375,,
329,G4:2018:1:a(2),8434,G4,0.120520833,,
346,G3:2018:G91:3:a,8514,G3,0.024895833,,
351,G3:49,8515,G3,0.095614583,,
334,G3:2018:G86:1:a,8545,G3,0.00271875,,
367,G4:2018:3:b(2),8546,G4,0.215270833,,
360,G4:2018:5:a,8547,G4,0.094744792,,
330,G4:2018:7:a,8548,G4,0.10015625,,
327,G4:2018:2:b,8549,G4,0.04028125,,
333,G4:2018:9:a,8551,G4,0.103135417,,
348,G3:121:a,8586,G3,0,,
342,G4:2018:5:b,8598,G4,0.078822917,,
303,G4:2018:5:a(2),8599,G4,0.240708333,,
366,G3:2018:G55:1:b,8600,G3,0.008125,,
339,G4:2018:7:b,8601,G4,0.06334375,,
337,G4:2018:8:a,8602,G4,0.066260417,,
357,G3:2018:G138:1:a,8603,G3,0.003460938,,
338,G5:2018:12:a,8605,G5,0.133052083,,
