ID,total,Top,file,Toluene_adj,NFlowers,total_tol
8119,3431156.306,Phenylethyl Alcohol,201124,29583566.701,5,10.036294654620884
8121,439836.959,Benzaldehyde,201124,26193243.547000002,6,1.2108898145550546
8122,122157.694,Benzaldehyde,201124,24505435.119999997,5,0.4313619571482775
8125,4002849.0900000003,Benzaldehyde,201124,25780243.106,5,13.435865331595142
8126,2426859.004,Phenylethyl Alcohol,201124,31910469.933,5,6.581043763600576
8128,21971842.841,Benzaldehyde,210118,25359474.217,5,74.973825728347
8129,213874.819,Benzaldehyde,210118,30479750.773,5,0.6071998797486143
8137,13888890.206999999,Benzaldehyde,210118,25700573.612,5,46.76362419207781
8138,10898048.612,Benzaldehyde,210118,21992196.113999996,5,42.88086866525961
8141,41248564.247,Benzaldehyde,210118,26387512.585,5,135.26760993516612
8142,9172800.862,Benzaldehyde,210118,26986227.368,5,29.41326417241106
8143,77206030.042,Benzaldehyde,210118,27239418.378999997,6,204.38808690198007
8145,9816044.862,Benzaldehyde,210118,28945350.774,6,24.454562919000864
8146,11307834.837000001,Benzaldehyde,210118,18900619.873000003,4,64.71379297367767
8147,18885.23,Benzaldehyde,210118,30995835.162,6,0.04393606146668567
8149,1891032.3250000002,Benzaldehyde,210118,17035878.936,4,12.006815963097818
8150,29564247.59,Benzaldehyde,210118,18984573.127,6,112.29700708133751
8151,7563670.705,Benzaldehyde,210118,13641536.016,5,47.97917460113484
8162,50024980.718,Benzaldehyde,210118,29679028.069,5,145.85478747485556
8163,717420.8709999999,Benzaldehyde,210118,22099300.959,5,2.8091757058609925
8164,793655.675,Phenylethyl Alcohol,210119,28469559.251,5,2.412319434634534
8167,8336436.945,Phenylacetaldehyde,210119,38994943.485,5,18.499313308441895
8169,7916317.984,Phenylethyl Alcohol,210119,27779102.207999997,4,30.82467252509224
8170,1056534.987,Phenylethyl Alcohol,210119,35181592.736,4,3.248342638096645
8172,26302472.818,Benzaldehyde,210119,33111416.75,7,49.099177246576865
8173,16408224.709,Benzaldehyde,210119,33368990.290999997,5,42.55023498673515
8174,80021.67,Benzyl Alcohol,210119,27288216.942,5,0.25375574588540667
8175,14048476.345,Phenylethyl Alcohol,210119,31532533.623,6,32.127175404553796
8176,3794366.879,Benzaldehyde,210119,28019757.423,5,11.718131922867743
8177,22678951.036000002,Benzaldehyde,210119,27655443.664,6,59.134989042656514
8178,13171207.032,Phenylethyl Alcohol,210119,26374318.971,6,36.01193929581068
8179,6809190.84,Phenylethyl Alcohol,210119,30559799.530999996,5,19.280950455525428
8180,11518867.011,Phenylethyl Alcohol,210119,32255657.552,6,25.75170875265043
8181,39239561.57,Benzaldehyde,210119,28722570.457,5,118.21818197901365
8182,17865100.76,Benzaldehyde,210119,44754034.447,5,34.542734262973134
8183,22072516.053999998,Benzaldehyde,210119,35767061.078,3,89.00220536435417
8189,48005225.419,Benzaldehyde,210119,38966606.896000005,5,106.60543742007349
8204,23720086.612,Phenylethyl Alcohol,210120,81895936.993,5,25.06324778562795
8206,522132.614,Benzyl Alcohol,210120,60468195.386999995,4,0.9340008256055108
8207,58552263.122999996,Benzaldehyde,210120,59786093.67,7,60.53393489092579
8217,396702.42100000003,Benzyl Benzoate,210120,54704412.276,5,0.6275176243067648
8218,38519931.443,Benzaldehyde,210120,56040885.569,4,74.34879984699326
8223,793920.11,Benzaldehyde,210120,62774065.255,5,1.0944098209920317
8229,609457.284,Benzyl Alcohol,210121,66020307.829,4,0.9985255303072483
8231,44271409.650000006,Benzaldehyde,210121,69789866.065,5,54.8926780402756
8233,59161059.386,Benzaldehyde,210121,66773293.01,5,76.66843196478543
8236,111772.488,Benzaldehyde,210121,72793577.548,6,0.11072458000870412
8237,198814.282,Benzaldehyde,210121,70772598.648,5,0.24308931513594373
8238,236084.387,Benzaldehyde,210121,67220239.22,6,0.25326163161719784
8239,104133.885,Benzyl Acetate,210121,70442910.268,5,0.12791993044747096
8242,7305174.521,Benzaldehyde,210121,68764612.174,4,11.491032267518555
8250,2104538.505,Phenylethyl Alcohol,210121,76643986.552,5,2.376086372313678
8251,12647283.997,Benzaldehyde,210121,64208387.997,6,14.203902792327632
8257,16587417.305,Acetophenone,210121,66988190.729,8,13.39195475325847
8260,51651467.032,Benzaldehyde,210121,49986000.32399999,7,63.86893451401798
8262,11882854.719,Acetophenone,210121,64780739.085999995,3,26.454957725055806
8265,17838358.292,Phenylethyl Alcohol,210121,70321611,6,18.29229761010768
8266,108421643.37699999,Benzaldehyde,210126,55952874.846,7,119.7702560632139
8278,26771468.607,Benzaldehyde,210126,50609566.887,5,45.77443671796107
8329,1100364.807,Benzaldehyde,210304,325188259.337,6,0.24400797563267085
8434,5196447.3,Benzaldehyde,210317,215976683.41,5,2.082011350764079
8514,2302436.919,Benzaldehyde,210419,151415776.111,5,1.3158307972132492
8515,15857123.986,Benzaldehyde,210419,141257627.761,5,9.713951857595738
8545,2215484.506,Benzaldehyde,210419,101355495.282,5,1.8914934875423595
8547,4929756.5819999995,Benzaldehyde,210419,111457982.917,5,3.82734604016717
8598,472819.942,Benzaldehyde,210503,136570300.752,6,0.24965582696508629
8599,4341185.347,Benzaldehyde,210503,139095032.727,5,2.7007236083766624
8600,1362888.5469999998,Benzaldehyde,210503,144698666.654,5,0.8150406058387349
8605,1268440.078,Benzaldehyde,210503,124139468.571,5,0.8841857416213776
8648,7083169.402,Benzaldehyde,210505,161371752.744,5,3.7982499941739207
8660,6805764.449,Benzaldehyde,210506,188757001.47,6,2.600016065925318
8662,4388731.355,Benzaldehyde,210506,200705976.738,5,1.892178595899102
8664,4034190.908,Benzaldehyde,210506,180919690.746,5,1.9295411413364072
8677,2803751.409,Benzaldehyde,210506,162867516.42,5,1.4896644867669064
8680,588893.946,Benzaldehyde,210506,161601890.42,5,0.31533638619423776
8686,15225669.757000001,Benzaldehyde,210506,153713501.64,5,8.571322247224641
8687,15876623.395,Benzaldehyde,210506,158660962.054,5,8.659074838962235
8688,7120325.307,Benzaldehyde,210506,158642487.931,7,2.7741869302124806
8887,108293.421,Benzaldehyde,210511,166505623.692,5,0.056280325489392116
8905,1574931.67,Benzaldehyde,210513,144700156.599,5,0.9418378692913949
8915,55996.721,Benzaldehyde,210513,137557093.753,6,0.02935498024652635
8935,666556.472,Benzaldehyde,210513,132964796.151,5,0.43379416993625697
